Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,JAN 2021,FEB 2021,MAR 2021,APR 2021,MAY 2021,JUN 2021,JULY 2021,AUG 2021,SEP 2021,OCT 2021,NOV 2021,DEC 2021,JAN 2022,FEB 2022,MAR 2022,APR 2022,MAY 2022,JUN 2022,JULY 2022,AUG 2022,SEP 2022,OCT 2022,NOV 2022,ANNUAL TOTAL
BOSCH,AVT006,WDD2221591A470147,141,0,0,0,0,0,0,0,0,0,6,6,5.91,38.98,65.31,93.73,22.09,146.86,68.41,57.83,17.86,84.23,80.68,87,780.89
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,JTHCYLFF9J5001363,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,479,307,57,130,219,245,1696
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,JTHCYLFF0J5001364,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,469,114,178,70,110,36,1253
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,JTHCYLFFXJ5001291,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,134,118,127,108,162,0,735
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,JTHBYLFF2J5002995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2C4RC1N72LR135159 ,2,0,0,0,0,0,0,0,0,0,0,0,11,0,24,39,0,77,107,117,138,38,0,164,715
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2C4RC1N70LR135158 ,1,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,36
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2C4RC1N73LR135204 ,1,0,0,0,0,0,0,0,0,0,0,0,9,0,32,34,9,0,0,0,0,17,0,0,101
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2C4RC1N75LR135205 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,78,166,55,24,0,39,108,0,515
"WOVEN PLANET NORTH AMERICA, INC.",AVT077,2C4RC1N76LR138968 ,2,0,0,0,0,0,0,0,0,0,0,49,62,0,32,89,77,155,83,86,135,222,50,0,991
