Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,DEC 2022,JAN 2023,FEB 2023,MAR 2023,APR 2023,MAY 2023,JUN 2023,JULY 2023,AUG 2023,SEP 2023,OCT 2023,NOV 2023,ANNUAL TOTAL,,,,,
Apollo Autonomous Driving USA LLC,AVDT006,3LN6L5LU2HR615153,0,219.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.4,65.2,475.5,,,,,
Apollo Autonomous Driving USA LLC,AVDT006,2C4RC1N77LR190366,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
Apollo Autonomous Driving USA LLC,AVDT006,2C4RC1N71LR252232,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
Apollo Autonomous Driving USA LLC,AVDT006,3LN6L2LU4GR629715,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.1,0.0,102.1,,,,,
CRUISE LLC,AVDT005,5G21A6P00L4100085,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P00N4121599,0,777.20,"1,030.05",334.86,703.31,"1,236.57","1,685.84","1,901.37","1,852.81","2,153.91",348.71,297.25,0.00,"12,321.88",,,,,
CRUISE LLC,AVDT005,5G21A6P00N4121604,0,889.43,889.35,306.14,"1,119.39","1,411.44","1,604.58","2,126.70","2,496.92","1,241.86",825.95,117.15,0.00,"13,028.91",,,,,
CRUISE LLC,AVDT005,5G21A6P00N4121635,0,"1,052.14","1,090.71",517.21,"1,092.37",198.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,951.00",,,,,
CRUISE LLC,AVDT005,5G21A6P00N4121649,0,"1,071.09",901.69,297.91,"1,197.65","1,361.59",658.47,868.99,"1,919.02","2,709.40",443.73,0.00,0.00,"11,429.54",,,,,
CRUISE LLC,AVDT005,5G21A6P00N4121652,0,898.01,860.46,620.37,805.66,"1,206.03","1,889.13","1,351.03","2,039.02","2,233.24",135.21,414.83,0.00,"12,452.99",,,,,
CRUISE LLC,AVDT005,5G21A6P00N4121666,0,"1,123.19",303.97,315.25,214.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,957.21",,,,,
