,location,In_autonomy,Description
1,Moraga St near 34th Ave,1,"On June 29, 2023 at 3:39 PM PDT, an Apollo Autonomous Vehicle (“Apollo AV”) operating in San Francisco, California, was in a collision involving a scooter on Moraga Street near 34th Ave. The Apollo AV was traveling westbound on Moraga Street passing the intersection with 34th Ave. The intersection has stop signs clearly installed at all four ways, which require vehicles to make full stop before entering the intersection. The Apollo AV made a full stop, entered and passed approximately 75% of the intersection. A person on scooter coming southbound from 34th Ave.,  approached the intersection. The person on scooter entered the intersection without stopping, then made contact with the passenger rear-side of Apollo AV. Our Apollo AV operator immediately disengaged the AV, pulled over to the closest safe place to park, got out of the car to check the person on scooter, who already left the scene on his scooter without exchanging any information. The Apollo AV had small minor paint scratch, which do not need repair. The police were not called."
4,I-580E and I-238 Junction,1,"On January 26th, a test vehicle operating with the automated driving system engaged was traveling Eastbound on Interstate 580 in Castro Valley when a nearby semi-trailer truck merging from Interstate 238 generated a draft that projected road debris onto the test vehicle. No injuries were reported and law enforcement was not called to the scene. The test vehicle sustained minor damage."
13,N Mathilda Ave and Del Rey Ave,1,"A test vehicle, operating in autonomous mode in Sunnyvale and turning right from Mathilda Avenue onto Del Ray Avenue, made contact with a curb at approximately 13 miles per hour. While there was no tire or wheel damage, the contact resulted in misalignment. No other agents were involved, no injuries were reported, and law enforcement was not called to the scene."
21,I-80 Westbound,1,"On September 26th, a test vehicle operating with the automated driving system engaged was traveling Westbound on Interstate 80 in Emeryville, CA, when it slowed and came to a complete stop in response to traffic. Approximately three seconds later, and while traffic remained stopped ahead, a white Chevrolet Silverado made contact from the rear. No injuries were reported and law enforcement was not called to the scene. Both vehicles sustained damage."
22,US 101S near Capitol Expressway,1,"On September 29th, a test vehicle operating with the automated driving system engaged was traveling Southbound on Highway 101 in San Jose when a nearby white Jeep Cherokee ran over a piece of lumber, which was projected onto the test vehicle.  No injuries were reported and law enforcement was not called to the scene.  The test vehicle sustained minor damage."
25,Stanford Ave/Bowdoin St,1,"An Argo AI Autonomous Vehicle (""Argo AV"") traveling northeast bound on Stanford Ave was involved in a collision. The Argo AV came to a complete stop at the stop sign located at the intersection of Stanford Ave and Bowdoin Ave. When the Argo AV began to accelerate the vehicle directly behind the Argo AV made contact with the Argo AV's rear bumper. The Argo AV sustained minor damage to its rear bumper. No injuries were reported at the scene and the police were not contacted."
27,SE Park Avenue,1,"An Argo AI Autonomous Vehicle (""Argo AV"") was impacted by a cyclist while traveling east on Park Ave and approaching CambridgeAve. The Argo AV was traveling in its lane adjacent to a cyclist who was traveling in a marked bike lane. As the Argo AV was passing thecyclist (while maintaining more than 2 meters of lateral margin), the cyclist veered left into the Argo AV's lane. In response, the ArgoAV steered away from the cyclist, but the cyclist continued into the lane and the bicycle's left handlebar made contact with the ArgoAV's passenger side door handle. The Test Specialist brought the AV to a stop. The cyclist maintained balance, continued to crossthe lanes behind the stopped Argo AV, and left the scene after a brief conversation with the left seat Test Specialist, during which thecyclist indicated that he was fine and apologized. The Argo AV sustained minor damage to its passenger side door handle."
28,Grant Ave/El Camino Real,1,"An Argo AI Autonomous Vehicle (“Argo AV”) was involved in a rear-end collision on Grant Ave. The Argo AV came to a complete stop at the stop sign located at the intersection of Grant Ave. and El Camino Real. After the Argo AV began to initiate a right-hand turn, the Argo AV came to a stop in response to oncoming traffic. A vehicle trailing behind the Argo AV moved forward and contacted the Argo AV’s left rear bumper. The Argo AV sustained minor damage to its left rear bumper."
31,"9th St at Seven Seas Ave, Treasure Island",1,"At approximately 5:54 p.m. PST on Wednesday, August 23, 2023, at the intersection of Seven Seas Ave and 9th Street on Treasure Island in the city of San Francisco, a Beep-operated autonomous shuttle was proceeding in autonomous mode straight E/B after stopping at a 3-way stop intersection when a vehicle making a left turn heading N/B proceeded out of turn resulting in a collision within the intersection. There were no passengers on board and no injuries reported. Both vehicle sustained minor damage and police did not respond to the scene.  There were no other witness statements received."
34,201 Grant Av,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was traveling northbound on Grant Avenue between Sutter Street and Post Street.  A skateboard that escaped control of a nearby pedestrian made contact to the Cruise AV at the front passenger side tire. The skateboard caused minimal damage to the front right wheel of the Cruise AV. There were no injuries and the police were not called."
35,433 Minna St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling Southwest on Minna Street between 5th Street and Mary Street.  A white Mazda pulled out from a construction area without yielding, onto Minna Street.  Seeing that the Mazda was not going to yield to oncoming traffic, the AVTO disengaged from autonomous mode and unsuccessfully attempted to avoid collision.  The Mazda made contact with the Cruise AV causing damage to the front driver side bumper and fender of the Cruise AV.  There were no injuries and the police were not called."
37,1170 Columbus Av,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling northwest bound on Columbus Street approaching the intersection with Jones Street when the Cruise AV slowed down. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle, changing into the Cruise AV’s lane from the left adjacent lane, made contact with the rear bumper of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. Both of the Cruise AV test operators later mentioned neck and shoulder pain."
38,22 Castro St,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was making a left turn onto eastbound Duboce Avenue from southbound Castro Street when the Cruise AV yielded to an oncoming car. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle made contact with the rear bumper of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. Both of the Cruise AV test operators later mentioned neck and back pain."
40,Sickles Ave and Mission St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling southeast bound on Sickles Avenue toward the intersection with Mission Street in the left turn lane; when the Cruise AV yielded to another vehicle that encroached into the Cruise AV’s lane from the right adjacent lane. Shortly thereafter, a second vehicle made contact with the rear bumper of the Cruise AV, damaging the Cruise AV’s rear impact bar and a radar mounting bracket and the other vehicle’s front bumper. There were no injuries and police were not called."
42,700 Blk Baker St,1,"A Cruise autonomous vehicle (“Cruise AV”), was in autonomous mode and traveling westbound on McAllister Street near Baker Street. The AV came to a complete stop at the stop sign at McAllister and Baker. With no other vehicles present at the intersection and having the right of way after the stop, the AV started to proceed left onto Baker Street from McAllister. As the AV was making the left turn, a Subaru traveling northbound on Baker Street quickly approached the intersection, failed to stop for the stop sign and struck the front left side of the Cruise AV. The AVTO disengaged from autonomous mode approximately 1.5 seconds before impact. The AVTOs sustained minor injuries and the AV sustained damage to the driver's side bumper and wheel assembly. The police were called but did not respond to the scene."
43,1201 Bryant St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling eastbound on Bryant Street in the rightmost lane between 11th Street and 10th Street. As the Cruise AV proceeded straight into the intersection with 10th Street, a semi-trailer truck traveling in the lane to the left of the Cruise AV began to make a right turn onto 10th Street and crossed into the Cruise AV’s lane without a turn signal. The Cruise AV braked and the semi-trailer truck made contact with the left side of the Cruise AV, causing damage to the driver side front, rear, and bumper of the Cruise AV. The parties exchanged information and there were no injuries."
45,198 Duboce Av,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was facing west and stopped for a red light at the intersection of Duboce and Guerrero Streets. Before the Cruise AV started to proceed for the green light, contact was made to the rear bumper of the Cruise AV by a BMW traveling behind the AV. The contact caused minimal damage to the rear bumper of the Cruise AV. There were no injuries and the police were not called."
46,1401 Clay Street,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling eastbound on Clay Street between Hyde Street and Leavenworth Street. Shortly before the intersection with Leavenworth Street, the Cruise AV made contact with a downed power cable on Clay Street and came to a stop. This caused damage to the Cruise AV’s front driver side radar assembly. There were no injuries."
47,1452 Haight Street,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling on westbound Haight Street between Ashbury Street and Masonic Avenue.  At the same time, a San Francisco Municipal Railway (“MUNI”) Bus stopped ahead of the Cruise AV. Shortly thereafter, the Cruise AV made contact with the rear bumper of the MUNI Bus, damaging the front fascia and front fender of the Cruise AV. The parties exchanged information. There were no reported injuries and the Cruise AV was towed from the scene."
48,199 Parnassus St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was turning from northbound Stanyan St. to westbound on Parnassus Street. As the Cruise AV was starting to turn, a black GMC Denali behind the Cruise AV attempted to overtake the Cruise AV causing the AVTO to disengage from autonomous mode.  The GMC Denali made contact with the front driver side bumper of the Cruise AV, which caused minor damage to the front bumper. There were no injuries and police were not called. The driver of the GMC Denali did not stop after the incident and could not be contacted."
51,499 25th Avenue,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling southbound on 25th Avenue between Clement Street and Geary Boulevard. The Cruise AV entered the intersection with Geary Boulevard on a green light. As the Cruise AV was passing through the intersection, a black Volkswagen Hatchback traveling westbound on Geary Boulevard entered the intersection on a red light and shortly thereafter made contact with the Cruise AV, damaging the driver side doors of the Cruise AV. The driver of the Volkswagen Hatchback left the scene without exchanging information. Police were called to the scene. There were no reported injuries and the Cruise AV was towed from the scene."
52,1198 Turk Street,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling westbound on Turk Street Street between Webster Street and Laguna Street. The Cruise AV came to a complete stop for a double-parked Sedan in the leftmost lane. The Cruise AV began to maneuver around and to the right of the Sedan when the Sedan reversed into the Cruise AV, damaging the Cruise AV’s front driver side bumper. The driver of the Sedan left the scene without exchanging information. There were no reported injuries."
53,1460 Pine St,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling in the rightmost lane on westbound Pine Street between Polk Street and Larkin Street. A white Lexus traveling in the middle lane of westbound Pine Street alongside the Cruise AV attempted to change into the rightmost lane in which the Cruise AV was traveling. Shortly thereafter, the white Lexus made contact with the left rear door of the Cruise AV, damaging the Cruise AV’s left rear door. The driver of the other vehicle left the scene without exchanging information. There were no injuries and a police report was later filed."
