Section 1 Manufacturers information. enter manufacturer's NAME,Business,Date_of_Accident,Time_of_accident,Location,city,county,state,zip,Operator
"Aimotive, Inc","Aimotive, Inc.",2019-09-16,10:00 PM,"SB, 101 US Freeway, Old Middlefield Rd x Shorline",Mountain View,Santa Clara,CA,94043,
,Apollo Autonomous Driving USA LLC,2023-06-29,3:39 PM,Moraga St near 34th Ave,San Francisco,San Francisco,CA,94122,Apollo Autonomous Driving USA LLC
,Apollo Autonomous Driving USA LLC,2023-09-06,12:25 PM,2037 Rivera Street,San Francisco,San Francisco,CA,94116,Apollo Autonomous Driving USA LLC
,Apollo Autonomous Driving USA LLC,2023-10-16,12:02 PM,1901 46th Avenue,San Francisco,San Francisco,CA,94116,Apollo Autonomous Driving USA LLC
,Apple Inc.,2024-02-15,12:03 PM,US 101N at Ellis St Exit,Sunnyvale,Santa Clara,CA,94089,Apple Inc.
,Apple Inc.,2023-05-11,04:55 PM,Our Lady's Way & Great America Pkwy,Santa Clara,Santa Clara,CA,95054,Apple Inc.
,Apple Inc.,2023-09-26,11:33 PM,I-80 Westbound,Emeryville,Alameda,CA,94608,Apple Inc.
,Apple Inc.,2023-09-29,2:58 PM,US 101S near Capitol Expressway,San Jose,Santa Clara,CA,95121,Apple Inc.
,Apple Inc.,2023-10-13,1:52 PM,I-880N near Brokaw Rd Exit,San Jose,Santa Clara,CA,95131,Apple Inc.
,Apple Inc.,2023-10-23,05:06 PM,Lawrence Expressway and Kifer Road,Santa Clara,Santa Clara,CA,95051,Apple Inc.
,Apple Inc.,2022-02-17,8:25 PM,300 Charles Street,Sunnyvale,Santa Clara,CA,94086,Apple Inc.
,Apple Inc.,2022-02-22,1:32 PM,EB E Evelyn Ave btw Mondrian and Bernardo,Mountain View,Santa Clara,CA,94041,Apple Inc.
,Apple Inc.,2022-03-15,06:59 PM,SB Semiconductor Drive,Santa Clara,Santa Clara,CA,95051,Apple Inc.
,Apple Inc.,2022-10-20,11:19 PM,US-101S Ramp & Lawrence Expressway,Sunnyvale,Santa Clara,CA,94085,Apple Inc.
,Apple Inc.,2021-11-11,5:01 PM,North Fair Oaks Ave and Kifer Road,Sunnyvale,Santa Clara,CA,94086,Apple Inc.
,Apple Inc.,2024-01-26,11:06 PM,I-580E and I-238 Junction,Castro Valley,Alameda,CA,94546,Apple Inc.
,Apple Inc.,2023-02-21,10:15 PM,Homestead Rd & Kennewick Dr,Sunnyvale,Santa Clara,CA,94087,Apple Inc.
,Apple Inc.,2021-08-19,9:30 PM,690 University Ave.,San Diego,San Diego,CA,92103,Apple Inc.
,Apple Inc.,2021-08-23,8:21 PM,Main Street Cupertino Parking Roadway Intersectio,Cupertino,Santa Clara,CA,95014,Apple Inc.
Apple Inc.,Apple Inc.,2019-09-19,7:58 PM,Sunnyvale Community Center Park Entrance,Sunnyvale,Santa Clara,CA,94087,
,Apple Inc.,2022-10-10,09:56 PM,Lawrence Expy and Sandia Ave,Sunnyvale,Santa Clara,CA,94089,Apple Inc.
,Apple Inc.,2021-12-06,5:53 PM,El Camino Real & 604 El Camino Real Parking Exit,Sunnyvale,Santa Clara,CA,94087,Apple Inc.
,Apple Inc.,2022-12-20,12:46 PM,US 101N near Marine Pkwy Exit,Belmont,San Mateo,CA,94002,Apple Inc.
